,n,p_contradiction,p_entailment,p_neutral,boundary,isArtifact,diff
nobody,2380,0.9941176470588236,0.0008403361344537816,0.005042016806722689,0.3914597702396589,True,0.6026578768191646
cats,911,0.8792535675082327,0.048298572996706916,0.07244785949506037,0.427284676209205,True,0.4519688912990277
nothing,643,0.8755832037325039,0.05132192846034215,0.07309486780715396,0.4451629133839393,True,0.43042029034856455
joyously,183,0.01639344262295082,0.01639344262295082,0.9672131147540983,0.542955224898461,True,0.4242578898556373
championship,396,0.07575757575757576,0.030303030303030304,0.8939393939393939,0.47583324249927655,True,0.41810615144011737
vacation,692,0.0968208092485549,0.044797687861271675,0.8583815028901735,0.44113094360846117,True,0.4172505592817123
date,588,0.11564625850340136,0.025510204081632654,0.858843537414966,0.4502761412375818,True,0.4085673961773842
siblings,308,0.05194805194805195,0.045454545454545456,0.9025974025974026,0.49491304254863877,True,0.40768436004876385
winning,759,0.10144927536231885,0.05665349143610013,0.841897233201581,0.4362631721108535,True,0.4056340610907275
impress,187,0.03208556149732621,0.026737967914438502,0.9411764705882353,0.5407011605564296,True,0.4004753100318057
anything,331,0.8882175226586103,0.045317220543806644,0.06646525679758308,0.4891981824938857,True,0.3990193401647246
favorite,820,0.12560975609756098,0.045121951219512194,0.8292682926829268,0.4323607054329977,True,0.3969075872499291
mars,153,0.954248366013072,0.006535947712418301,0.0392156862745098,0.5625870921634188,True,0.3916612738496531
tv,2078,0.78055822906641,0.08373435996150144,0.13570741097208855,0.3955403550105041,True,0.38501787405590593
sleeping,9166,0.7299803622081605,0.13648265328387518,0.13353698450796422,0.3629524603420045,True,0.367027901866156
brothers,650,0.13846153846153847,0.06153846153846154,0.8,0.4445591241199588,True,0.35544087588004125
frowning,312,0.8461538461538461,0.08012820512820513,0.07371794871794872,0.49387393396205137,True,0.3522799121917948
owner,1353,0.15003695491500368,0.08795269770879527,0.762010347376201,0.4104260379560123,True,0.3515843094201887
