,0,1,n,p_0,p_1,boundary,isArtifact,max_p,diff
bad,834,73,907,0.9195148842337376,0.0804851157662624,0.5802003670354295,True,0.9195148842337376,0.3393145171983081
worst,264,7,271,0.974169741697417,0.025830258302583026,0.646722039051433,True,0.974169741697417,0.327447702645984
solid,3,216,219,0.0136986301369863,0.9863013698630136,0.6632142004837889,True,0.9863013698630136,0.32308716937922477
moving,14,296,310,0.04516129032258064,0.9548387096774194,0.6371826387664149,True,0.9548387096774194,0.31765607091100445
powerful,6,230,236,0.025423728813559324,0.9745762711864406,0.6572258668590952,True,0.9745762711864406,0.3173504043273454
touching,1,177,178,0.0056179775280898875,0.9943820224719101,0.6810381063224258,True,0.9943820224719101,0.3133439161494843
flat,182,3,185,0.9837837837837838,0.016216216216216217,0.6775800341447016,True,0.9837837837837838,0.30620374963908226
portrait,5,183,188,0.026595744680851064,0.973404255319149,0.6761574742416353,True,0.973404255319149,0.2972467810775137
hilarious,5,183,188,0.026595744680851064,0.973404255319149,0.6761574742416353,True,0.973404255319149,0.2972467810775137
beautifully,6,187,193,0.031088082901554404,0.9689119170984456,0.6738606683743806,True,0.9689119170984456,0.29505124872406496
too,1101,179,1280,0.86015625,0.13984375,0.5675110736140293,True,0.86015625,0.29264517638597065
terrific,3,153,156,0.019230769230769232,0.9807692307692307,0.6933827359095099,True,0.9807692307692307,0.2873864948597208
fascinating,24,287,311,0.07717041800643087,0.9228295819935691,0.6369619103229289,True,0.9228295819935691,0.2858676716706402
stupid,135,2,137,0.9854014598540146,0.014598540145985401,0.7063572424567091,True,0.9854014598540146,0.27904421739730556
remarkable,7,169,176,0.03977272727272727,0.9602272727272727,0.6820638261812975,True,0.9602272727272727,0.27816344654597525
ugly,133,2,135,0.9851851851851852,0.014814814814814815,0.7078801947964825,True,0.9851851851851852,0.2773049903887027
mess,145,4,149,0.9731543624161074,0.026845637583892617,0.6978731489369625,True,0.9731543624161074,0.2752812134791449
enjoyable,21,246,267,0.07865168539325842,0.9213483146067416,0.6478169948298909,True,0.9213483146067416,0.27353131977685075
beautiful,20,240,260,0.07692307692307693,0.9230769230769231,0.6497936231243118,True,0.9230769230769231,0.27328329995261136
worse,121,1,122,0.9918032786885246,0.00819672131147541,0.7186754777504292,True,0.9918032786885246,0.2731278009380954
heart,46,373,419,0.10978520286396182,0.8902147971360382,0.6179975494007918,True,0.8902147971360382,0.27221724773524647
unfunny,112,0,112,1.0,0.0,0.7282290844247479,True,1.0,0.2717709155752521
wonderful,8,166,174,0.04597701149425287,0.9540229885057471,0.6831071804317246,True,0.9540229885057471,0.2709158080740225
best,117,690,807,0.1449814126394052,0.8550185873605948,0.585024332674804,True,0.8550185873605948,0.26999425468579075
dull,260,25,285,0.9122807017543859,0.08771929824561403,0.6430729623391711,True,0.9122807017543859,0.2692077394152148
perfectly,1,114,115,0.008695652173913044,0.991304347826087,0.7252325113118938,True,0.991304347826087,0.2660718365141932
power,13,186,199,0.06532663316582915,0.9346733668341709,0.6712195933092524,True,0.9346733668341709,0.2634537735249185
honest,9,160,169,0.05325443786982249,0.9467455621301775,0.6857961228737993,True,0.9467455621301775,0.26094943925637815
pretentious,116,2,118,0.9830508474576272,0.01694915254237288,0.722350953267999,True,0.9830508474576272,0.26069989418962813
unique,1,109,110,0.00909090909090909,0.990909090909091,0.7302945481031584,True,0.990909090909091,0.26061454280593255
strong,15,192,207,0.07246376811594203,0.927536231884058,0.6678784020121282,True,0.927536231884058,0.25965782987192976
charming,19,213,232,0.08189655172413793,0.9181034482758621,0.6585754698692143,True,0.9181034482758621,0.25952797840664776
contrived,131,5,136,0.9632352941176471,0.03676470588235294,0.7071145192858319,True,0.9632352941176471,0.25612077483181517
poorly,95,0,95,1.0,0.0,0.7478096399608328,True,1.0,0.25219036003916717
pointless,93,0,93,1.0,0.0,0.750460085834827,True,1.0,0.24953991416517296
entertaining,67,410,477,0.14046121593291405,0.859538784067086,0.610591260942175,True,0.859538784067086,0.24894752312491097
