,n,p_0,p_1,boundary
the,27205,0.45675427311156036,0.5432457268884396,0.5146438622255495
a,21609,0.43005229302605397,0.569947706973946,0.5164309496419006
and,19920,0.3926706827309237,0.6073293172690764,0.5171133618112614
of,17907,0.4346903445579941,0.565309655442006,0.51804964158875
s,8765,0.4661722760981175,0.5338277239018825,0.5257990693028385
that,7759,0.46578167289599176,0.5342183271040083,0.5274206107280751
in,7495,0.4703135423615744,0.5296864576384256,0.5278993561403111
with,4745,0.3656480505795574,0.6343519494204426,0.5350640349862685
an,4133,0.37865956932010647,0.6213404306798935,0.5375705278464075
film,4038,0.36973749380881626,0.6302625061911837,0.5380099100678242
its,3924,0.4597349643221203,0.5402650356778798,0.5385580888724858
you,2749,0.439432520916697,0.5605674790833031,0.5460672862524406
nt,2311,0.7226308957161403,0.2773691042838598,0.5502435163766447
one,2031,0.42885278188084686,0.5711472181191531,0.5535950940854354
not,1886,0.6214209968186638,0.37857900318133614,0.5556172043876177
has,1886,0.4188759278897137,0.5811240721102863,0.5556172043876177
his,1860,0.4188172043010753,0.5811827956989247,0.5560045777577105
like,1782,0.6279461279461279,0.3720538720538721,0.5572171404895842
so,1712,0.5776869158878505,0.4223130841121495,0.5583751647392269
or,1710,0.7023391812865497,0.2976608187134503,0.5584092922865672
have,1671,0.5733093955715141,0.42669060442848594,0.5590869774327047
most,1516,0.33839050131926124,0.6616094986807388,0.5620340875602718
story,1398,0.42131616595135907,0.5786838340486409,0.5645990920040105
good,1341,0.25727069351230425,0.7427293064876958,0.5659577163123208
out,1282,0.5795631825273011,0.4204368174726989,0.5674583923156327
too,1280,0.86015625,0.13984375,0.5675110736140293
who,1271,0.41856805664830843,0.5814319433516916,0.5677496762280387
funny,1105,0.22805429864253393,0.7719457013574661,0.5726605800218237
no,1057,0.7890255439924314,0.2109744560075686,0.5742920779443074
comedy,1053,0.4036087369420703,0.5963912630579298,0.5744330497559879
just,1050,0.6761904761904762,0.3238095238095238,0.5745393068404288
does,1009,0.6015857284440039,0.398414271555996,0.5760386532389067
much,987,0.6048632218844985,0.3951367781155015,0.5768814247566216
will,937,0.4012806830309498,0.5987193169690501,0.5789060319343762
some,909,0.38613861386138615,0.6138613861386139,0.5801120892243772
bad,907,0.9195148842337376,0.0804851157662624,0.5802003670354295
little,905,0.5812154696132596,0.41878453038674035,0.5802889373186713
very,890,0.40337078651685393,0.596629213483146,0.5809627024509557
best,807,0.1449814126394052,0.8550185873605948,0.585024332674804
any,788,0.6307106598984772,0.36928934010152287,0.586043266750671
love,777,0.18404118404118405,0.8159588159588159,0.5866501841380086
been,776,0.6662371134020618,0.3337628865979381,0.5867059974669122
life,772,0.2616580310880829,0.7383419689119171,0.5869303341871903
work,761,0.3455978975032852,0.6544021024967148,0.5875563545009027
enough,743,0.3566621803499327,0.6433378196500673,0.5886105827015496
only,707,0.6308345120226309,0.36916548797736914,0.5908385707560798
makes,701,0.3566333808844508,0.6433666191155493,0.5912264952430397
us,692,0.29624277456647397,0.703757225433526,0.5918178146908398
new,684,0.3684210526315789,0.631578947368421,0.5923532000720284
something,672,0.3869047619047619,0.6130952380952381,0.5931741335505359
do,666,0.6441441441441441,0.35585585585585583,0.5935928958112879
humor,660,0.33484848484848484,0.6651515151515152,0.5940173555662622
through,650,0.6061538461538462,0.39384615384615385,0.5947378056083386
was,641,0.6692667706708268,0.33073322932917315,0.5954005733086527
well,624,0.28525641025641024,0.7147435897435898,0.596691367954755
great,617,0.20097244732576985,0.7990275526742301,0.5972383133888267
would,611,0.690671031096563,0.309328968903437,0.5977145855283759
director,603,0.33499170812603646,0.6650082918739635,0.5983606394118741
performances,583,0.17495711835334476,0.8250428816466552,0.6000335593556765
plot,563,0.7744227353463587,0.2255772646536412,0.6017948488706433
drama,562,0.36298932384341637,0.6370106761565836,0.6018853734317702
her,560,0.30178571428571427,0.6982142857142857,0.6020671494432549
could,549,0.6302367941712204,0.3697632058287796,0.603084608797691
films,544,0.35661764705882354,0.6433823529411765,0.603557259642916
see,540,0.3851851851851852,0.6148148148148148,0.6039400973982412
fun,525,0.16,0.84,0.605414498663624
without,515,0.37281553398058254,0.6271844660194175,0.6064330198915328
cast,506,0.2826086956521739,0.717391304347826,0.6073753867088627
nothing,502,0.7470119521912351,0.25298804780876494,0.6078023283003684
both,499,0.2745490981963928,0.7254509018036072,0.6081258977973237
when,498,0.6164658634538153,0.38353413654618473,0.6082344034922614
look,496,0.3245967741935484,0.6754032258064516,0.6084523984834956
entertaining,477,0.14046121593291405,0.859538784067086,0.610591260942175
real,468,0.30982905982905984,0.6901709401709402,0.6116495746339818
often,462,0.341991341991342,0.658008658008658,0.6123722331467609
performance,453,0.18322295805739514,0.8167770419426048,0.6134830235717825
long,449,0.6547884187082406,0.34521158129175944,0.6139873950506478
while,442,0.3597285067873303,0.6402714932126696,0.614886464488945
still,441,0.26303854875283444,0.7369614512471655,0.6150166474933043
world,439,0.20273348519362186,0.7972665148063781,0.6152783466882673
script,436,0.6720183486238532,0.32798165137614677,0.6156742666174575
also,435,0.2896551724137931,0.7103448275862069,0.6158071492191327
interesting,426,0.33568075117370894,0.6643192488262911,0.6170240703688371
heart,419,0.10978520286396182,0.8902147971360382,0.6179975494007918
another,419,0.6420047732696897,0.35799522673031026,0.6179975494007918
dialogue,400,0.715,0.285,0.6207674798679695
minutes,399,0.8395989974937343,0.16040100250626566,0.6209187228575632
down,391,0.7058823529411765,0.29411764705882354,0.6221494794863369
get,388,0.6494845360824743,0.35051546391752575,0.6226207975567944
big,386,0.3756476683937824,0.6243523316062176,0.6229380575891501
thriller,377,0.259946949602122,0.7400530503978779,0.6243968331138875
less,368,0.7391304347826086,0.2608695652173913,0.6259088015090962
hard,368,0.6277173913043478,0.37228260869565216,0.6259088015090962
human,363,0.18457300275482094,0.8154269972451791,0.6267729763838635
moments,360,0.25833333333333336,0.7416666666666667,0.6273001012204382
tale,359,0.21448467966573817,0.7855153203342619,0.6274772761165065
actors,359,0.3342618384401114,0.6657381615598886,0.6274772761165065
compelling,354,0.1638418079096045,0.8361581920903954,0.6283743827238492
romantic,351,0.3076923076923077,0.6923076923076923,0.6289218239396732
cinema,350,0.2742857142857143,0.7257142857142858,0.629105866608589
rather,350,0.66,0.34,0.629105866608589
year,347,0.3631123919308357,0.6368876080691642,0.629662760063015
family,346,0.2254335260115607,0.7745664739884393,0.6298499988032453
worth,331,0.21450151057401812,0.7854984894259819,0.6327596205566471
seem,329,0.7203647416413373,0.2796352583586626,0.6331625338367524
seems,323,0.6934984520123839,0.3065015479876161,0.6343936466214495
documentary,323,0.2724458204334365,0.7275541795665634,0.6343936466214495
were,323,0.7863777089783281,0.21362229102167182,0.6343936466214495
emotional,321,0.2897196261682243,0.7102803738317757,0.6348116683047256
our,319,0.23510971786833856,0.7648902821316614,0.6352336150901761
visual,315,0.2920634920634921,0.707936507936508,0.6360895325910065
fascinating,311,0.07717041800643087,0.9228295819935691,0.6369619103229289
moving,310,0.04516129032258064,0.9548387096774194,0.6371826387664149
sweet,309,0.15210355987055016,0.8478964401294499,0.6374044378421563
right,308,0.22077922077922077,0.7792207792207793,0.6376273162333153
works,307,0.19218241042345277,0.8078175895765473,0.6378512827219673
feels,306,0.7450980392156863,0.2549019607843137,0.6380763461905546
full,300,0.34,0.66,0.6394502740222499
piece,296,0.28378378378378377,0.7162162162162162,0.6403893437169319
yet,291,0.35738831615120276,0.6426116838487973,0.6415903009553238
care,291,0.6563573883161512,0.3436426116838488,0.6415903009553238
music,288,0.2569444444444444,0.7430555555555556,0.6423258399357519
me,285,0.7087719298245614,0.2912280701754386,0.6430729623391711
