,0,1,n,p_0,p_1,boundary,isArtifact
hide,12,2,14,0.8571428571428571,0.14285714285714285,1.145529333042945,False
new,252,432,684,0.3684210526315789,0.631578947368421,0.5923532000720284,True
secretions,3,0,3,1.0,0.0,1.8945027402224985,False
from,929,930,1859,0.49973103819257664,0.5002689618074233,0.5560196388250146,False
the,12426,14779,27205,0.45675427311156036,0.5432457268884396,0.5146438622255495,True
parental,6,2,8,0.75,0.25,1.3539550396145112,False
units,2,4,6,0.3333333333333333,0.6666666666666666,1.4860623439945513,False
contains,18,5,23,0.782608695652174,0.21739130434782608,1.003635206036385,False
no,834,223,1057,0.7890255439924314,0.2109744560075686,0.5742920779443074,True
wit,59,146,205,0.28780487804878047,0.7121951219512195,0.6686953333670651,True
only,446,261,707,0.6308345120226309,0.36916548797736914,0.5908385707560798,True
labored,35,0,35,1.0,0.0,0.9082685977730197,True
gags,93,30,123,0.7560975609756098,0.24390243902439024,0.7177847389045171,True
that,3614,4145,7759,0.46578167289599176,0.5342183271040083,0.5274206107280751,True
loves,10,29,39,0.2564102564102564,0.7435897435897436,0.8867654718190199,False
its,1804,2120,3924,0.4597349643221203,0.5402650356778798,0.5385580888724858,True
characters,575,561,1136,0.5061619718309859,0.49383802816901406,0.5716623150068009,False
and,7822,12098,19920,0.3926706827309237,0.6073293172690764,0.5171133618112614,True
communicates,0,10,10,0.0,1.0,1.263800607322629,False
something,260,412,672,0.3869047619047619,0.6130952380952381,0.5931741335505359,True
rather,231,119,350,0.66,0.34,0.629105866608589,True
beautiful,20,240,260,0.07692307692307693,0.9230769230769231,0.6497936231243118,True
about,853,1009,1862,0.458109559613319,0.541890440386681,0.5559744920301793,False
human,67,296,363,0.18457300275482094,0.8154269972451791,0.6267729763838635,True
nature,40,67,107,0.37383177570093457,0.6261682242990654,0.7335006589569074,False
remains,36,77,113,0.3185840707964602,0.6814159292035398,0.7272169770677899,False
utterly,52,46,98,0.5306122448979592,0.46938775510204084,0.7439871541755746,False
satisfied,3,7,10,0.3,0.7,1.263800607322629,False
to,6347,6191,12538,0.5062210878928058,0.49377891210719416,0.5215707808503585,False
remain,25,10,35,0.7142857142857143,0.2857142857142857,0.9082685977730197,False
same,157,79,236,0.6652542372881356,0.3347457627118644,0.6572258668590952,True
throughout,19,77,96,0.19791666666666666,0.8020833333333334,0.7465155859986379,True
on,1268,1188,2456,0.5162866449511401,0.4837133550488599,0.5487377884039836,False
worst,264,7,271,0.974169741697417,0.025830258302583026,0.646722039051433,True
revengeofthenerds,12,0,12,1.0,0.0,1.1972513701112493,False
clichés,105,17,122,0.860655737704918,0.13934426229508196,0.7186754777504292,True
filmmakers,91,99,190,0.4789473684210526,0.5210526315789473,0.6752278768597018,False
could,346,203,549,0.6302367941712204,0.3697632058287796,0.603084608797691,True
dredge,13,0,13,1.0,0.0,1.169897447803891,False
up,610,551,1161,0.5254091300602929,0.47459086993970717,0.5708865580696102,False
s,4086,4679,8765,0.4661722760981175,0.5338277239018825,0.5257990693028385,True
far,189,191,380,0.49736842105263157,0.5026315789473684,0.6239048199804165,False
too,1101,179,1280,0.86015625,0.13984375,0.5675110736140293,True
tragic,41,46,87,0.47126436781609193,0.5287356321839081,0.7589526579344423,False
merit,26,12,38,0.6842105263157895,0.3157894736842105,0.8918214442112555,False
such,227,308,535,0.42429906542056073,0.5757009345794393,0.6044246692437281,False
superficial,66,7,73,0.9041095890410958,0.0958904109589041,0.7826952877546551,True
treatment,22,46,68,0.3235294117647059,0.6764705882352942,0.7929041621384075,False
demonstrates,4,21,25,0.16,0.84,0.9830699194718782,False
director,202,401,603,0.33499170812603646,0.6650082918739635,0.5983606394118741,True
