,n,p_contradiction,p_entailment,p_neutral,boundary,isArtifact
a,1441033,0.32952264104985796,0.3349840010603505,0.33549335788979157,0.33528010103290645,True
the,535480,0.35915440352580863,0.2781523119444237,0.3626932845297677,0.3365269255982754,True
in,407657,0.34756179827649225,0.3234778257211332,0.32896037600237454,0.33699352344178357,True
is,373876,0.33750227348104717,0.32696134547283057,0.33553638104612227,0.3371553035749922,True
on,236200,0.34278154106689246,0.32627434377646064,0.3309441151566469,0.33814185025201837,True
and,206513,0.329524049333456,0.32834736796230746,0.3421285827042365,0.3384758700035459,True
are,199291,0.3271196391206828,0.34300093832636697,0.3298794225529502,0.33856821961542655,True
of,192415,0.32804095314814335,0.3267936491437778,0.3451653977080789,0.3386609336066987,True
with,169510,0.3248657896289304,0.33529585275205004,0.33983835761901954,0.33900947770524104,True
woman,136681,0.3490609521440434,0.3252975907404833,0.32564145711547327,0.33965449679815807,True
two,122246,0.3292132257906189,0.345949969733161,0.3248368044762201,0.34001729216547716,True
people,121246,0.30557709120300874,0.38600036289856987,0.3084225458984214,0.34004479919070635,True
to,114069,0.28411750782421163,0.26595306349665554,0.4499294286791328,0.3402527148630286,True
at,98784,0.3491759799157758,0.2996942824748947,0.3511297376093295,0.3407687924696831,True
wearing,81140,0.33169829923588856,0.3437392161695834,0.32456248459452797,0.34153748335667466,True
his,72549,0.3282057643799363,0.26928007277839805,0.40251416284166563,0.3420096497073398,True
while,56305,0.3206464789983128,0.32645413373590265,0.35289938726578457,0.34318200396640774,True
sitting,53757,0.40152910318656176,0.3202001599791655,0.2782707368342727,0.34341270786207606,True
standing,46409,0.3399771596026633,0.3580555495701265,0.30196729082721024,0.34418134115878934,True
her,45673,0.32314496529678366,0.27510783176055875,0.4017472029426576,0.34426839724394565,True
for,42282,0.24017312331488577,0.21110638096589565,0.5487204957192185,0.34469843523749727,True
down,39031,0.3705772334810791,0.31580026133073713,0.31362250518818374,0.34516228496331464,True
walking,38849,0.3174599088779634,0.35656001441478546,0.32598007670725115,0.3451899607547431,True
outside,38777,0.21303865693581248,0.519276890940506,0.2676844521236816,0.34520096316946197,True
person,35833,0.28166773644405996,0.43239471995088324,0.2859375436050568,0.3456788568277221,True
women,34091,0.3512950632131648,0.31735648704936786,0.33134844973746735,0.34599034629174535,True
holding,34059,0.31436624680701136,0.3654247041897883,0.32020904900320035,0.34599629081925,True
child,32229,0.31487169940116044,0.35483570697198175,0.3302925936268578,0.3463508361361322,True
there,30529,0.24625765665432867,0.5421402600805791,0.2116020832650922,0.3467083645905811,True
water,29592,0.30264936469316034,0.37635171668018386,0.32099891862665586,0.34691846762712675,True
their,27922,0.31054365733113676,0.26710121051500607,0.42235513215385717,0.34731882805592157,True
up,26701,0.32759072693906593,0.3177034567993708,0.3547058162615632,0.3476350223965143,True
looking,26380,0.3027293404094011,0.345185746777862,0.3520849128127369,0.34772177298068846,True
as,24770,0.3220831651190957,0.306782398062172,0.3711344368187323,0.3481820216691117,True
some,23790,0.2772593526691887,0.37288776796973516,0.34985287936107606,0.34848477206728484,True
from,22892,0.33264896033548835,0.2790494495893762,0.3883015900751354,0.34877909134461166,True
other,21432,0.3128032848077641,0.3376726390444196,0.34952407614781633,0.3492965256110249,True
large,20900,0.3215789473684211,0.320622009569378,0.35779904306220095,0.349498416823809,True
through,20464,0.35413408913213446,0.318608287724785,0.32725762314308054,0.34966971350425907,True
running,20256,0.38981042654028436,0.311858214849921,0.29833135860979465,0.3497533748519479,True
has,20229,0.29596124375895994,0.3753522171140442,0.3286865391269959,0.3497643292561661,True
riding,19910,0.3796082370668006,0.3286288297338021,0.2917629331993973,0.3498954357181395,True
ball,19448,0.3126799670917318,0.33463595228301113,0.3526840806252571,0.35009100288296213,True
out,19166,0.32421997286862153,0.30413231764583115,0.3716477094855473,0.35021383515639765,True
near,17757,0.2607985583150307,0.45283550149236923,0.2863659401926001,0.350870777352395,True
beach,17630,0.3710153148043108,0.30255246738513897,0.3264322178105502,0.3509338306335022,True
dressed,16933,0.3205574912891986,0.35516447174156973,0.3242780369692317,0.3512924156425467,True
another,16372,0.3088199364769118,0.36012704617639874,0.33105301734668946,0.3515975153715039,True
around,16007,0.3523458486911976,0.33347910289248456,0.3141750484163179,0.35180457637010265,True
crowd,15741,0.29979035639413,0.3293310463121784,0.37087859729369166,0.3519599911175824,True
stands,14715,0.3310907237512742,0.35385660890248044,0.3150526673462453,0.35259841976826894,True
field,14700,0.3578231292517007,0.32081632653061226,0.32136054421768706,0.35260824638784954,True
sits,14065,0.39374333451830784,0.317170280838962,0.2890863846427302,0.35303855056094025,True
working,13377,0.2732301711893549,0.3831950362562607,0.3435747925543844,0.353538932417516,True
park,13057,0.36723596538255343,0.251129662250134,0.38163437236731257,0.3537850323661762,True
that,12918,0.3022139650100635,0.31041956959281625,0.3873664653971203,0.35389476993434715,True
it,12681,0.3006072076334674,0.2998974844255185,0.3994953079410141,0.3540860207099086,True
car,12280,0.4248371335504886,0.2757328990228013,0.2994299674267101,0.3544221354488379,True
picture,12253,0.2712805027340243,0.3879050028564433,0.3408144944095324,0.35444535769356683,True
game,12098,0.296908579930567,0.30004959497437594,0.40304182509505704,0.35458017125685015,True
watching,12095,0.43637866887143445,0.2562215791649442,0.30739975196362135,0.35458280608784515,True
talking,12046,0.29013780508052467,0.35198406109912006,0.3578781338203553,0.35462598089507197,True
something,11922,0.24073142090253313,0.43868478443214226,0.3205837946653246,0.3547364262230671,True
play,11901,0.3203932442651878,0.30862952693051005,0.3709772288043022,0.3547553013952681,True
off,11471,0.3339726266236597,0.28733327521576146,0.37869409816057886,0.35515311774159897,True
together,11464,0.2677076064200977,0.39776692254012563,0.3345254710397767,0.35515977838283114,True
camera,11350,0.3141850220264317,0.3564757709251101,0.32933920704845815,0.355269117500773,True
couple,11208,0.30442541042112775,0.3083511777301927,0.38722341184867953,0.3554076380818667,True
old,11195,0.34095578383206787,0.27735596248325145,0.3816882536846807,0.3554204510654086,True
eating,11117,0.5183952505172259,0.22874876315552756,0.25285598632724654,0.3554978003428291,True
city,10932,0.31394072447859495,0.3291255031101354,0.35693377241126967,0.35568455592180037,True
taking,10902,0.3546138323243442,0.27251880388919464,0.3728673637864612,0.3557152877149323,True
air,10333,0.3163650440336785,0.35855995354688863,0.3250750024194329,0.35632327558597493,True
he,10233,0.2821264536304114,0.24616437017492426,0.47170917619466435,0.3564353348493427,True
they,10155,0.2876415558838011,0.22708025603151158,0.48527818808468737,0.3565238877376693,True
him,9759,0.3118147351163029,0.316630802336305,0.37155446254739216,0.3569897214111003,True
being,9562,0.2773478351809245,0.3806734992679356,0.3419786655511399,0.35723216803363583,True
bench,9325,0.3878820375335121,0.3058445040214477,0.3062734584450402,0.3575339635001882,True
sleeping,9166,0.7299803622081605,0.13648265328387518,0.13353698450796422,0.35774296176940873,True
outdoors,9120,0.1362938596491228,0.6548245614035088,0.20888157894736842,0.35780444371031045,True
holds,8988,0.3020694259012016,0.37105028927458833,0.32688028482421005,0.3579834831538014,True
pool,8871,0.39882764062676135,0.28711531958065606,0.3140570397925826,0.3581455066125383,True
inside,8843,0.5282144068754947,0.27117494063100755,0.2006106524934977,0.35818475753265794,True
waiting,8700,0.25724137931034485,0.2247126436781609,0.5180459770114942,0.35838816381927496,True
them,8489,0.3155848745435269,0.3210036517846625,0.3634114736718106,0.3586976302416297,True
sit,8461,0.37158728282708897,0.32726628058149154,0.30114643659141943,0.3587395646298169,True
baseball,8380,0.374582338902148,0.3016706443914081,0.3237470167064439,0.35886205602383997,True
tree,8329,0.3639092328010565,0.30651939008284307,0.32957137711610035,0.35894009527784604,True
about,8293,0.239961413240082,0.2147594356686362,0.5452791510912818,0.3589956147016115,True
performing,8105,0.25157310302282543,0.3446020974706971,0.4038247995064775,0.35929153400714814,True
day,8049,0.3112187849422288,0.2524537209591254,0.4363274940986458,0.3593816780982246,True
swimming,7996,0.5352676338169085,0.21710855427713857,0.24762381190595298,0.35946786382377227,True
ground,7794,0.3745188606620477,0.3321785989222479,0.29330254041570436,0.3598043666322906,True
getting,7786,0.26239404058566657,0.2924479835602363,0.4451579758540971,0.3598179624386821,True
back,7786,0.3331620857950167,0.3068327767788338,0.3600051374261495,0.3598179624386821,True
race,7731,0.2919415340835597,0.2843099210968827,0.42374854481955765,0.3599120041562396,True
room,7715,0.423849643551523,0.2929358392741413,0.2832145171743357,0.35993955039586284,True
who,7651,0.3033590380342439,0.3220494053064959,0.37459155665926025,0.36005059808676687,True
having,7577,0.28441335620958164,0.29602745149795434,0.419559192292464,0.36018074681247403,True
work,7504,0.2583955223880597,0.2690565031982942,0.47254797441364604,0.360311018519224,True
construction,7478,0.3003476865472051,0.31960417223856646,0.3800481412142284,0.36035787671572367,True
football,7433,0.3761603659356922,0.30216601641329205,0.32167361765101576,0.3604395576926791,True
rock,7428,0.3086968228325256,0.32606354334948845,0.365239633817986,0.3604486791467716,True
someone,7412,0.21370750134916353,0.4473826227738802,0.3389098758769563,0.36047792979800963,True
all,7408,0.4094222462203024,0.24487041036717064,0.345707343412527,0.3604852572637835,True
band,7295,0.2980123372172721,0.3000685400959561,0.40191912268677177,0.36069474163801135,True
trying,7079,0.2265856759429298,0.23167113999152422,0.541743184065546,0.36110904139986527,True
workers,7036,0.3119670267197271,0.320636725412166,0.3673962478681069,0.3611937867237507,True
reading,6982,0.36536808937267257,0.3066456602692638,0.3279862503580636,0.36130131799922927,True
dancing,6836,0.39394382679929785,0.31597425394967815,0.290081919251024,0.3615984035094034,True
using,6556,0.28737034777303233,0.39093959731543626,0.3216900549115314,0.36219567893148835,True
be,6550,0.29770992366412213,0.30320610687022903,0.39908396946564884,0.36220889530046224,True
its,6549,0.3163841807909605,0.29317453046266606,0.3904412887463735,0.36221109979425997,True
making,6545,0.28663101604278074,0.31871657754010696,0.3946524064171123,0.36221992282118776,True
going,6404,0.24312929419113055,0.23219862585883821,0.5246720799500312,0.36253619649572855,True
this,6230,0.27993579454253614,0.39325842696629215,0.32680577849117176,0.36294119696090743,True
long,6194,0.3159509202453988,0.30400387471746854,0.3800452050371327,0.36302711388265396,True
ocean,6153,0.3898911100276288,0.27807573541361935,0.3320331545587518,0.3631258806343042,True
suit,6134,0.3699054450603195,0.30860776002608414,0.32148679491359633,0.3631719860089627,True
she,6123,0.28548097337906253,0.24922423648538297,0.46529479013555447,0.3631987766260749,True
basketball,6039,0.4154661367776122,0.288789534691174,0.2957443285312138,0.3634057673240353,True
team,6001,0.2897850358273621,0.2744542576237294,0.4357607065489085,0.3635008305751768,True
runs,5937,0.36937847397675594,0.32491157150075795,0.3057099545224861,0.3636629953436554,True
was,5791,0.34121913313762736,0.25073389742704194,0.4080469694353307,0.36404294414694577,True
home,5695,0.5232660228270413,0.10992098331870062,0.36681299385425814,0.3643006967559795,True
restaurant,5639,0.38340131228941304,0.2865756339776556,0.3300230537329314,0.3644540828307908,True
toy,5599,0.2873727451330595,0.3423825683157707,0.3702446865511699,0.36456505037666675,True
chair,5539,0.38129626286333274,0.31269182162845277,0.3060119155082145,0.36473375011148745,True
floor,5534,0.38507408745934224,0.31080592699674736,0.3041199855439104,0.3647479321350542,True
friends,5505,0.21653042688465032,0.14150772025431427,0.6419618528610355,0.3648305685302789,True
during,5350,0.3069158878504673,0.27869158878504674,0.41439252336448595,0.36528357916600507,True
kid,5289,0.29476271506901114,0.3711476649650217,0.3340896199659671,0.3654672979820376,True
music,5281,0.22722969134633592,0.4010604052262829,0.3717099034273812,0.3654916280742218,True
have,5262,0.30976814899277844,0.3217407829722539,0.3684910680349677,0.36554963425418296,True
family,5217,0.290205098715737,0.22925052712286756,0.48054437416139545,0.3656882791391377,True
bus,5213,0.38941108766545174,0.2631881833876846,0.34740072894686364,0.36570068993583726,True
lake,5129,0.3817508286215637,0.2571651394033925,0.36108403197504385,0.3659646610989462,True
after,5101,0.27680846892766126,0.1819251127229955,0.5412664183493433,0.3660540971689321,True
