,n,p_0,p_1,boundary,isArtifact
the,27205,0.45675427311156036,0.5432457268884396,0.5146438622255495,True
a,21609,0.43005229302605397,0.569947706973946,0.5164309496419006,True
and,19920,0.3926706827309237,0.6073293172690764,0.5171133618112614,True
of,17907,0.4346903445579941,0.565309655442006,0.51804964158875,True
s,8765,0.4661722760981175,0.5338277239018825,0.5257990693028385,True
that,7759,0.46578167289599176,0.5342183271040083,0.5274206107280751,True
in,7495,0.4703135423615744,0.5296864576384256,0.5278993561403111,True
with,4745,0.3656480505795574,0.6343519494204426,0.5350640349862685,True
an,4133,0.37865956932010647,0.6213404306798935,0.5375705278464075,True
film,4038,0.36973749380881626,0.6302625061911837,0.5380099100678242,True
its,3924,0.4597349643221203,0.5402650356778798,0.5385580888724858,True
you,2749,0.439432520916697,0.5605674790833031,0.5460672862524406,True
nt,2311,0.7226308957161403,0.2773691042838598,0.5502435163766447,True
one,2031,0.42885278188084686,0.5711472181191531,0.5535950940854354,True
has,1886,0.4188759278897137,0.5811240721102863,0.5556172043876177,True
not,1886,0.6214209968186638,0.37857900318133614,0.5556172043876177,True
his,1860,0.4188172043010753,0.5811827956989247,0.5560045777577105,True
like,1782,0.6279461279461279,0.3720538720538721,0.5572171404895842,True
so,1712,0.5776869158878505,0.4223130841121495,0.5583751647392269,True
or,1710,0.7023391812865497,0.2976608187134503,0.5584092922865672,True
have,1671,0.5733093955715141,0.42669060442848594,0.5590869774327047,True
most,1516,0.33839050131926124,0.6616094986807388,0.5620340875602718,True
story,1398,0.42131616595135907,0.5786838340486409,0.5645990920040105,True
good,1341,0.25727069351230425,0.7427293064876958,0.5659577163123208,True
out,1282,0.5795631825273011,0.4204368174726989,0.5674583923156327,True
too,1280,0.86015625,0.13984375,0.5675110736140293,True
who,1271,0.41856805664830843,0.5814319433516916,0.5677496762280387,True
funny,1105,0.22805429864253393,0.7719457013574661,0.5726605800218237,True
no,1057,0.7890255439924314,0.2109744560075686,0.5742920779443074,True
comedy,1053,0.4036087369420703,0.5963912630579298,0.5744330497559879,True
just,1050,0.6761904761904762,0.3238095238095238,0.5745393068404288,True
does,1009,0.6015857284440039,0.398414271555996,0.5760386532389067,True
much,987,0.6048632218844985,0.3951367781155015,0.5768814247566216,True
will,937,0.4012806830309498,0.5987193169690501,0.5789060319343762,True
some,909,0.38613861386138615,0.6138613861386139,0.5801120892243772,True
bad,907,0.9195148842337376,0.0804851157662624,0.5802003670354295,True
little,905,0.5812154696132596,0.41878453038674035,0.5802889373186713,True
